Genre,Count,Avg_IMDB_Rating,Max_IMDB_Rating,Top_Series_Title
"Action, Adventure",5,8.18,8.4,The Dark Knight Rises
"Action, Adventure, Biography",1,7.9,7.9,"Aguirre, der Zorn Gottes"
"Action, Adventure, Comedy",10,7.909999999999999,8.2,Sholay
"Action, Adventure, Crime",1,7.6,7.6,Celda 211
"Action, Adventure, Drama",14,8.15,8.9,The Lord of the Rings: The Return of the King
"Action, Adventure, Family",1,7.6,7.6,Harry Potter and the Half-Blood Prince
"Action, Adventure, Fantasy",6,8.200000000000001,8.7,Star Wars: Episode V - The Empire Strikes Back
"Action, Adventure, History",1,7.9,7.9,Ying xiong
"Action, Adventure, Horror",1,7.9,7.9,Dawn of the Dead
"Action, Adventure, Mystery",1,7.6,7.6,Sherlock Holmes
"Action, Adventure, Romance",1,7.9,7.9,The Adventures of Robin Hood
"Action, Adventure, Sci-Fi",21,7.928571428571429,8.8,Inception
"Action, Adventure, Thriller",5,7.74,8.0,Casino Royale
"Action, Adventure, War",2,7.7,7.7,Where Eagles Dare
"Action, Adventure, Western",2,7.800000000000001,7.9,The Wild Bunch
"Action, Biography, Crime",3,7.866666666666666,8.2,Paan Singh Tomar
"Action, Biography, Drama",7,7.942857142857143,8.4,Dangal
"Action, Comedy, Crime",6,8.016666666666666,8.2,Gangs of Wasseypur
"Action, Comedy, Fantasy",3,7.766666666666667,7.8,Evil Dead II
"Action, Comedy, Mystery",1,7.8,7.8,Hot Fuzz
"Action, Comedy, Romance",2,8.2,8.2,Andaz Apna Apna
"Action, Crime, Comedy",1,8.0,8.0,Knockin' on Heaven's Door
"Action, Crime, Drama",30,7.88,9.0,The Dark Knight
"Action, Crime, Mystery",1,7.6,7.6,Minority Report
"Action, Crime, Thriller",10,7.8,8.0,Baby
"Action, Drama",5,7.9399999999999995,8.2,K.G.F: Chapter 1
"Action, Drama, History",3,7.766666666666667,7.8,Dunkirk
"Action, Drama, Mystery",5,8.08,8.6,Seppuku
"Action, Drama, Sci-Fi",2,8.149999999999999,8.2,V for Vendetta
"Action, Drama, Sport",1,8.2,8.2,Warrior
"Action, Drama, Thriller",4,7.949999999999999,8.2,Yôjinbô
"Action, Drama, War",3,8.166666666666666,8.2,Uri: The Surgical Strike
"Action, Drama, Western",2,8.0,8.0,Per un pugno di dollari
"Action, Mystery, Thriller",3,7.866666666666667,8.0,The Bourne Ultimatum
"Action, Sci-Fi",3,8.4,8.7,The Matrix
"Action, Sci-Fi, Thriller",2,8.0,8.1,Blade Runner
"Action, Thriller",3,7.866666666666666,8.2,Die Hard
"Adventure, Biography, Crime",1,7.8,7.8,Captain Phillips
"Adventure, Biography, Drama",6,7.983333333333333,8.3,Lawrence of Arabia
"Adventure, Comedy, Crime",2,7.9,8.1,The Grand Budapest Hotel
"Adventure, Comedy, Drama",8,7.85,8.2,Queen
"Adventure, Comedy, Family",3,7.733333333333333,7.8,Paddington 2
"Adventure, Comedy, Fantasy",2,7.8999999999999995,8.2,Monty Python and the Holy Grail
"Adventure, Comedy, Film-Noir",1,7.8,7.8,To Have and Have Not
"Adventure, Comedy, Sci-Fi",3,8.1,8.5,Back to the Future
"Adventure, Comedy, War",1,7.6,7.6,Kelly's Heroes
"Adventure, Drama",4,8.05,8.1,Stand by Me
"Adventure, Drama, Fantasy",6,7.8999999999999995,8.1,Harry Potter and the Deathly Hallows: Part 2
"Adventure, Drama, History",4,8.0,8.2,The Great Escape
"Adventure, Drama, Musical",1,8.1,8.1,Lagaan: Once Upon a Time in India
"Adventure, Drama, Romance",2,7.75,7.8,Cast Away
"Adventure, Drama, Sci-Fi",3,8.166666666666666,8.6,Interstellar
"Adventure, Drama, Thriller",4,8.025,8.3,Das Boot
"Adventure, Drama, War",2,8.2,8.3,Inglourious Basterds
"Adventure, Drama, Western",4,7.975,8.2,The Treasure of the Sierra Madre
"Adventure, Family, Fantasy",7,7.785714285714286,8.0,The Princess Bride
"Adventure, Fantasy",2,7.8,7.8,The Hobbit: The Desolation of Smaug
"Adventure, History, War",1,7.8,7.8,The Man Who Would Be King
"Adventure, Horror, Sci-Fi",1,7.9,7.9,King Kong
"Adventure, Mystery, Thriller",1,8.3,8.3,North by Northwest
"Adventure, Sci-Fi",2,8.15,8.3,2001: A Space Odyssey
"Adventure, Thriller",1,8.0,8.0,Jaws
"Animation, Action, Adventure",11,7.954545454545454,8.4,Spider-Man: Into the Spider-Verse
"Animation, Action, Crime",3,7.8999999999999995,8.0,Kôkaku Kidôtai
"Animation, Action, Drama",1,8.1,8.1,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni"
"Animation, Action, Fantasy",1,7.7,7.7,Vampire Hunter D: Bloodlust
"Animation, Action, Sci-Fi",1,8.0,8.0,Akira
"Animation, Adventure, Comedy",24,7.925,8.3,Toy Story
"Animation, Adventure, Drama",7,7.957142857142857,8.5,The Lion King
"Animation, Adventure, Family",9,7.966666666666667,8.6,Sen to Chihiro no kamikakushi
"Animation, Adventure, Fantasy",1,8.1,8.1,Kaze no tani no Naushika
"Animation, Biography, Crime",1,7.8,7.8,Loving Vincent
"Animation, Biography, Drama",2,7.9,8.0,Persepolis
"Animation, Comedy, Crime",1,7.6,7.6,Despicable Me
"Animation, Comedy, Drama",2,7.949999999999999,8.1,Mary and Max
"Animation, Comedy, Fantasy",1,7.7,7.7,"South Park: Bigger, Longer & Uncut"
"Animation, Crime, Mystery",1,8.0,8.0,Pâfekuto burû
"Animation, Drama, Family",4,7.85,8.1,Koe no katachi
"Animation, Drama, Fantasy",4,8.0,8.4,Kimi no na wa.
"Animation, Drama, Romance",1,7.6,7.6,Omohide poro poro
"Animation, Drama, War",1,8.5,8.5,Hotaru no haka
"Animation, Family, Fantasy",5,7.9,8.2,Tonari no Totoro
"Animation, Sci-Fi",1,7.8,7.8,La planète sauvage
"Biography, Comedy, Drama",7,7.914285714285714,8.5,The Intouchables
"Biography, Crime, Drama",16,7.925,8.7,Goodfellas
"Biography, Drama",12,7.983333333333333,8.2,A Beautiful Mind
"Biography, Drama, Family",4,7.875,8.1,Hachi: A Dog's Tale
"Biography, Drama, History",28,8.02142857142857,8.9,Schindler's List
"Biography, Drama, Music",7,7.857142857142857,8.5,The Pianist
"Biography, Drama, Romance",1,7.7,7.7,The Theory of Everything
"Biography, Drama, Sport",9,7.822222222222221,8.2,Bhaag Milkha Bhaag
"Biography, Drama, Thriller",3,7.833333333333333,8.0,The Imitation Game
"Biography, Drama, War",1,7.9,7.9,Patton
Comedy,13,7.823076923076924,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
"Comedy, Crime",6,7.8,8.3,Snatch
"Comedy, Crime, Drama",15,7.926666666666666,8.3,The Sting
"Comedy, Crime, Mystery",1,8.0,8.0,The Thin Man
"Comedy, Crime, Romance",1,8.1,8.1,"Crna macka, beli macor"
"Comedy, Crime, Sport",1,8.1,8.1,The Big Lebowski
